Seed,Temperature, Humidity, Wind,0,10,20,30,40,50,60,70,80,90,100,Total,Time
7464,10,10,10, 4.86,33.66,106.56,194.58,275.67,380.79,520.29,697.86,915.03,1191.51,1478.07,1481.68,5.22802
7464,10,10,23, 4.86,99.63,276.75,570.42,978.48,1408.77,1679.85,1922.49,2153.61,2374.11,2649.87,2671.45,7.06978
7464,10,10,35, 4.86,124.2,431.73,906.75,1251.63,1474.2,1677.51,1859.04,2076.3,2273.4,2583.99,2608.14,10.1548
7464,10,10,48, 4.86,151.47,590.4,995.4,1236.69,1425.96,1590.57,1753.47,1918.17,2091.96,2310.75,2331.35,12.66
7464,10,10,60, 4.86,187.92,719.82,983.43,1184.94,1367.01,1509.57,1652.85,1804.14,1952.37,2100.06,2118.93,13.5389
7464,10,30,10, 4.86,10.89,31.23,59.85,100.17,148.77,191.34,225.63,272.61,328.05,385.38,386.28,1.52295
7464,10,30,23, 4.86,31.32,98.28,157.68,278.73,429.39,586.98,791.37,1076.76,1327.32,1486.08,1495.03,3.89339
7464,10,30,35, 4.86,42.12,116.01,243.18,439.2,688.14,956.79,1160.64,1310.4,1432.89,1547.1,1558.73,5.65807
7464,10,30,48, 4.86,50.94,142.38,335.25,630,887.13,1045.71,1174.23,1289.88,1400.4,1491.93,1503.21,7.19855
7464,10,30,60, 4.86,55.71,178.11,421.74,740.88,906.75,1032.66,1153.08,1249.83,1344.15,1432.98,1444.47,8.82539
7464,10,50,10, 4.86,5.58,14.94,26.91,42.39,61.29,84.24,114.75,143.73,168.39,195.66,195.84,0.993566
7464,10,50,23, 4.86,16.92,45.09,88.29,124.74,167.31,252.27,338.13,435.6,538.65,645.03,647.06,2.53968
7464,10,50,35, 4.86,21.69,59.4,103.32,163.17,265.86,388.98,529.38,710.01,900.45,1045.71,1051.10,3.77445
7464,10,50,48, 4.86,25.29,70.2,124.38,224.1,363.87,558.45,773.46,906.66,1020.6,1116.45,1124.11,4.67353
7464,10,50,60, 4.86,28.35,75.87,149.67,283.59,474.66,696.6,829.53,932.49,1018.98,1104.03,1112.83,5.9209
